"lakeid","year4","sampledate","mid_sample_time","mid_latitude","mid_longitude","sv_mean","nasc","mean_height","mean_depth","number_pings","species","species_ts","density"
"ME",2009,"2009-08-24",2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972.000000,"YELLOWPERCH",-38.70,293.629243
"ME",2009,"2009-08-24",2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972.000000,"WHITEBASS",-35.70,10736.617110
"ME",2009,"2009-08-24",2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972.000000,"FRESHWATERDRUM",-36.10,293.629243
"ME",2009,"2009-08-24",2225,43.101697,-89.453949,-71.948156,46.803499,17.01,10.73,14972.000000,"CISCO",-33.00,1442.613238
"SP",2009,"2009-08-19",2054,,,-57.888650,902.883200,12.88,8.52,4941.000000,"RAINBOWSMELT",-47.00,3600988.280000
"CR",2009,"2009-08-20",32,,,-58.457900,872.572441,14.19,8.32,4309.000000,"RAINBOWSMELT",-43.00,1385452.460000
"TR",2009,"2009-08-19",2313,46.038444,-89.666252,-63.487031,483.105353,25.02,14.86,10811.000000,"CISCO",-38.40,111040.659500
"TR",2009,"2009-08-19",2313,46.038444,-89.666252,-63.487031,483.105353,25.02,14.86,10811.000000,"LAKETROUT",-30.80,21171.752410
"TR",2009,"2009-08-19",2313,46.038444,-89.666252,-63.487031,483.105353,25.02,14.86,10811.000000,"WALLEYE",-35.20,15841.800760
"CR",2002,"2002-09-21",2232,46.002667,-89.614000,-59.351595,675.120326,13.49,7.97,4019.000000,"RAINBOWSMELT",-44.70,1585519.000000
"CR",2001,"2001-08-27",2143,46.002143,-89.614572,-57.837222,1027.087369,14.48,8.40,2243.000000,"RAINBOWSMELT",-44.33,2215121.000000
"CR",2003,"2003-07-24",2216,46.001608,-89.614650,-63.442897,265.147900,13.59,7.91,6984.000000,"RAINBOWSMELT",-43.92,520329.000000
"SP",2002,"2002-08-25",2026,46.006250,-89.701130,-58.937665,745.986136,13.55,8.51,3953.000000,"RAINBOWSMELT",-45.45,2082193.000000
"SP",2001,"2001-08-26",2043,46.004384,-89.698590,-56.699055,1344.214035,14.58,8.31,4239.000000,"RAINBOWSMELT",-45.87,4132935.000000
"SP",2003,"2003-07-22",2358,46.006922,-89.698372,-58.563373,650.672680,10.84,7.20,4188.000000,"RAINBOWSMELT",-45.40,1795365.000000
"TR",2001,"2001-08-27",2026,46.035835,-89.655565,-58.843190,1389.872981,24.71,13.89,4349.000000,"CISCO",-40.70,1299467.000000
"SP",2004,"2004-07-28",632,46.006917,-89.699027,-58.394959,838.196763,13.44,8.09,1381.000000,"RAINBOWSMELT",-43.60,1528044.899157
"TR",2002,"2002-09-21",2114,46.039667,-89.659500,-59.189493,1392.705415,26.81,14.96,5725.000000,"CISCO",-40.54,1255016.000000
"TR",2004,"2004-07-26",2112,999.000000,999.000000,-59.146724,1260.748925,24.03,13.60,14157.000000,"CISCO",-44.70,2960866.000000
"TR",2003,"2003-07-25",2512,46.034849,-89.659867,-59.467378,1243.607389,25.52,14.62,7649.000000,"CISCO",-41.60,1430452.000000
"CR",2005,"2005-07-25",2124,46.002445,-89.613849,-62.441321,332.245804,13.52,8.04,4541.000000,"RAINBOWSMELT",,982312.000000
"SP",2005,"2005-07-25",2304,46.006056,-89.697617,-61.954367,358.063467,13.03,7.71,7612.000000,"RAINBOWSMELT",-44.10,732403.000000
"TR",2005,"2005-07-26",35,46.032612,-89.671884,-57.220097,1621.497336,19.84,14.40,13039.000000,"CISCO",-42.50,2100466.000000
"ME",2005,"2005-08-15",2142,,,-68.255463,51.200281,7.95,5.01,,"WALLEYE",-35.00,243.000000
"ME",2005,"2005-08-15",2142,,,-68.255463,51.200281,7.95,5.01,,"WHITEBASS",-41.00,3387.000000
"ME",2005,"2005-08-15",2142,,,-68.255463,51.200281,7.95,5.01,,"CISCO",-35.00,2661.000000
"ME",2005,"2005-08-15",2142,,,-68.255463,51.200281,7.95,5.01,,"FRESHWATERDRUM",-36.00,10888.000000
"ME",2005,"2005-08-15",2142,,,-68.255463,51.200281,7.95,5.01,,"YELLOWPERCH",-39.00,1210.000000
"CR",2006,"2006-08-04",2213,46.001885,-89.614053,-59.064789,800.543754,14.98,8.59,5239.000000,"RAINBOWSMELT",-46.30,2717535.395000
"SP",2006,"2006-08-04",2345,46.006408,-89.699782,-60.132845,572.427221,13.69,7.93,4903.000000,"RAINBOWSMELT",-48.30,3079714.189000
"TR",2006,"2006-08-05",101,46.037715,-89.661708,-59.123665,1308.508083,24.81,13.98,10354.000000,"CISCO",-43.40,2278067.277000
"ME",2006,"2006-08-07",2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862.000000,"BLUEGILL",-39.30,789.678812
"ME",2006,"2006-08-07",2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862.000000,"CISCO",-33.00,536.981592
"ME",2006,"2006-08-07",2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862.000000,"FRESHWATERDRUM",-34.00,1042.376032
"ME",2006,"2006-08-07",2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862.000000,"LONGNOSEGAR",-26.00,252.697220
"ME",2006,"2006-08-07",2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862.000000,"WHITEBASS",-37.00,2906.018028
"ME",2006,"2006-08-07",2202,43.097294,-89.450803,-70.077604,71.282066,16.84,9.82,21862.000000,"YELLOWPERCH",-38.50,26059.400800
"TR",2007,"2007-07-30",2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661.000000,"CISCO",-40.39,310843.389000
"TR",2007,"2007-07-30",2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661.000000,"LAKEWHITEFISH",-34.10,14802.066140
"TR",2007,"2007-07-30",2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661.000000,"WALLEYE",-33.90,25903.615750
"TR",2007,"2007-07-30",2319,46.035382,-89.657564,-60.928606,875.690014,25.16,14.06,10661.000000,"LAKETROUT",-28.70,18502.582680
"SP",2007,"2007-07-31",2351,46.006812,-89.698186,-58.256462,851.684133,13.23,7.93,5512.000000,"RAINBOWSMELT",-45.78,2564889.692000
"CR",2007,"2007-07-31",2213,46.016863,-89.668607,-56.826168,1276.086534,14.26,8.35,6734.000000,"RAINBOWSMELT",-42.84,1952856.186000
"ME",2007,"2007-08-10",2131,43.101339,-89.455936,-70.327968,68.620880,17.17,9.81,21374.000000,"CISCO",-34.50,463.203556
"ME",2007,"2007-08-11",2131,43.101339,-89.455936,-70.327968,68.620880,17.17,9.81,21374.000000,"YELLOWPERCH",-38.70,24582.874450
"ME",2007,"2007-08-12",2131,43.101339,-89.455936,-70.327968,68.620880,17.17,9.81,21374.000000,"WHITEBASS",-36.50,4929.809277
"ME",2007,"2007-08-13",2131,43.101339,-89.455936,-70.327968,68.620880,17.17,9.81,21374.000000,"FRESHWATERDRUM",-35.50,3110.081021
"CR",2008,"2008-07-30",2254,46.000800,-89.614252,-64.171131,216.002065,13.09,7.92,7437.000000,"RAINBOWSMELT",-42.10,255481.604300
"CR",2008,"2008-07-30",2254,46.000800,-89.614252,-64.171131,216.002065,13.09,7.92,7437.000000,"YELLOWPERCH",-35.60,5213.910291
"SP",2008,"2008-07-31",42,46.006336,-89.700327,-60.631190,466.601591,12.52,7.56,4833.000000,"RAINBOWSMELT",-43.10,1570.152080
"SP",2008,"2008-07-31",42,46.006336,-89.700327,-60.631190,466.601591,12.52,7.56,4833.000000,"WALLEYE",-31.90,48.561405
